name,barcode
Executive mahogany desk,F001
Large wooden table,F002
Conference room table,F003
Meeting table round,F004
Office desk white,F005
Standing desk adjustable,F006
Reception desk curved,F007
Mesa ejecutiva,F008
Mesa de reuniones,F009
Masa toplantı,F010
Çalışma masası,F011
Bureau en bois,F012
Scrivania ufficio,F013
Biurko drewniane,F014
Schreibtisch büro,F015
Desk with drawers,F016
Computer desk black,F017
L-shaped desk,F018
Corner desk setup,F019
Height adjustable table,F020
Boardroom table large,F021
Dining table office,F022
Kitchen table break room,F023
Side table small,F024
Coffee table lobby,F025
End table reception,F026
Console table entrance,F027
Mesa alta standing,F028
Table haute bureau,F029
Stół konferencyjny,F030
Tavolo riunioni,F031
Yüksek masa,F032
Training table,F033
Seminar table,F034
Workshop table,F035
Lab table white,F036
Cafeteria table,F037
Break room table,F038
Outdoor table patio,F039
Picnic table garden,F040
Herman Miller Aeron Chair,F041
Executive leather chair,F042
Office chair ergonomic,F043
Swivel chair black,F044
Task chair adjustable,F045
Conference chair,F046
Reception chair,F047
Sandalye ofis,F048
Silla ejecutiva,F049
Chaise bureau,F050
Sedia ufficio,F051
Krzesło biurowe,F052
Bürostuhl,F053
Rolling chair,F054
Mesh chair breathable,F055
Gaming chair,F056
Drafting chair tall,F057
Visitor chair,F058
Lounge chair comfort,F059
Waiting chair,F060
Stack chair,F061
Folding chair,F062
Bar stool,F063
Counter stool,F064
Lab stool,F065
Workshop stool,F066
Sandalye yüksek,F067
Taburete alto,F068
Tabouret haut,F069
Sgabello alto,F070
Hocker hoch,F071
Stołek wysoki,F072
Recliner chair,F073
Massage chair,F074
Bean bag chair,F075
Accent chair,F076
Reading chair,F077
Desk chair pink,F078
Chair cushion,F079
Chair mat,F080
Filing cabinet 4 drawer,F081
Bookshelf tall,F082
Storage cabinet,F083
Supply cabinet,F084
Document cabinet,F085
Media cabinet,F086
Display cabinet,F087
Wardrobe office,F088
Locker metal,F089
Shoe rack,F090
Coat rack,F091
Hat rack,F092
Umbrella stand,F093
Magazine rack,F094
Brochure holder,F095
File organizer,F096
Drawer organizer,F097
Shelf divider,F098
Storage bin,F099
Archive box,F100
Mobile pedestal,F101
Dosya dolabı,F102
Armario archivo,F103
Armoire bureau,F104
Schedario,F105
Szafa biurowa,F106
Aktenschrank,F107
Wall shelf,F108
Corner shelf,F109
Floating shelf,F110
Bookend,F111
Desktop organizer,F112
Pen holder,F113
Paper tray,F114
Inbox tray,F115
Document holder,F116
Bulletin board,F117
Whiteboard,F118
Corkboard,F119
Pegboard,F120
Wall hooks,F121
Closet organizer,F122
Garment rack,F123
Hanging organizer,F124
Over door organizer,F125
Under desk drawer,F126
Keyboard tray,F127
CPU holder,F128
Monitor arm,F129
Cable management,F130
Wire basket,F131
Waste basket,F132
Recycling bin,F133
Shredder bin,F134
Paper bin,F135
Compost bin,F136
Step stool,F137
Ladder 2 step,F138
Platform ladder,F139
Tool chest,F140
Parts cabinet,F141
Supply cart,F142
Rolling cart,F143
Service cart,F144
Mail cart,F145
Book cart,F146
AV cart,F147
Computer cart,F148
Printer stand,F149
Equipment rack,F150
Server rack,F151
Network cabinet,F152
Electrical panel,F153
Junction box,F154
Cable tray,F155
Conduit,F156
Wire management,F157
Power strip holder,F158
UPS cabinet,F159
Battery cabinet,F160
Charging station,F161
Device locker,F162
Tablet cart,F163
Laptop cart,F164
Phone charging dock,F165
Headphone stand,F166
Speaker stand,F167
Microphone stand,F168
Camera tripod,F169
Projector mount,F170
Screen mount,F171
TV stand,F172
