product_name,true_category,barcode
Dell UltraSharp,Technology,BC824230874
stuhl,Furniture,BC971763327
executive chair,Furniture,BC663052341
Global szafa,Furniture,BC922172936
service agreement,Services,BC173512612
office sofa,Furniture,BC182894551
executive standing desk,Furniture,BC369183038
Lounge Seating LS-200,Furniture,BC481882460
OneDrive storage basic,Services,BC889546822
Global archivador,Furniture,BC358085454
стул Model Pro-918,Furniture,BC196201527
IKEA leather Desk Model D-100,Furniture,BC626061386
deks,Furniture,BC498786278
internet service,Services,BC902813840
schrank,Furniture,BC140519046
printer - Refurbished,Technology,BC805315791
compter,Technology,BC883749478
ASUS PB278Q wireless,Technology,BC158119446
all-in-one printer compact,Technology,BC991091361
broadband monthly,Services,BC414064734
stuhl,Furniture,BC444342661
gabinete,Furniture,BC141351917
secondary display certified,Technology,BC574460059
SSH client limited,Services,BC534722381
Anti virus,Services,BC982169157
biurko,Furniture,BC108809073
의자,Furniture,BC374811907
ITIL support,Services,BC958416162
Allsteel archivador,Furniture,BC699299989
QHD Display certified,Technology,BC946711815
schrank,Furniture,BC279701810
fiber internet,Services,BC899484915
HON table,Furniture,BC450932787
work desk,Furniture,BC364982130
WiFi printer,Technology,BC575625690
стол,Furniture,BC227117388
HP OfficeJet,Technology,BC718494872
소파 Model B-588,Furniture,BC165176331
Executive Table EX-200,Furniture,BC107057729
chiar,Furniture,BC888448988
cabnit Model A-402,Furniture,BC516032315
sofa,Furniture,BC959106271
ultrawide monitor,Technology,BC899283454
Herman Miller Chair Model C-300,Furniture,BC348215410
divan,Furniture,BC134077472
technical support,Services,BC122927426
iCloud storage,Services,BC683247918
szafa,Furniture,BC140127441
Used szafa,Furniture,BC594318319
Reception Sofa RS-100 Model A-541,Furniture,BC232654592
chrome book - Refurbished,Technology,BC481584364
HON table,Furniture,BC898302819
phone support monthly,Services,BC269702658
security software volume license,Services,BC406998453
Teknion divan,Furniture,BC137219006
monitr professional,Technology,BC768986243
software support,Services,BC674420474
compact bench,Furniture,BC142400500
SAP,Services,BC963589906
Kimball 캐비넷,Furniture,BC635413025
NOC service subscription,Services,BC252728624
Teknion chiar,Furniture,BC384528891
VPN client,Services,BC823310328
Kimball storage unit,Furniture,BC124425601
plastic soffa,Furniture,BC382372922
mesh skrivbord,Furniture,BC875936087
canapé,Furniture,BC142683817
bildschirm,Technology,BC147143794
Aeron chair,Furniture,BC512410679
ERP system,Services,BC492203150
PRI line business,Services,BC391286241
fax machine gaming,Technology,BC985116006
bureau,Furniture,BC438395096
bureau,Furniture,BC508423654
SSH client,Services,BC267494290
white counch,Furniture,BC513746107
NOC service,Services,BC255270986
metal Steelcase storage Model A-378,Furniture,BC300388921
biurko - Refurbished,Furniture,BC921584159
ink jet gaming,Technology,BC422544802
B&W printer wireless Gen 2,Technology,BC294995530
glass divan,Furniture,BC158569033
Knoll office sofa,Furniture,BC719080517
cell phone plan business,Services,BC742827694
خدمة الإنترنت,Services,BC840580333
ink jet,Technology,BC305746804
business internet monthly,Services,BC226222619
4k monitor Plus,Technology,BC191597206
printer Plus,Technology,BC447549695
medium loveseat,Furniture,BC924790131
fabric conference chair,Furniture,BC186138889
divan,Furniture,BC247382533
Adobe Creative Suite basic subscription,Services,BC353366389
Allsteel Workstation WS-Pro,Furniture,BC303770248
Herman Miller large HON table,Furniture,BC191352864
Brother MFC certified,Technology,BC523216102
Office Software per device package,Services,BC248294102
Adobe Creative Suite,Services,BC475505122
HP OfficeJet backlit Plus,Technology,BC446389157
NOC service premium,Services,BC459048149
MSP service limited,Services,BC586155117
standing desk,Furniture,BC301864129
skrivbord,Furniture,BC400855850
キャビネット Model Pro-175,Furniture,BC854677179
surface pro backlit v3,Technology,BC389046078
Box subscription,Services,BC405669440
TAASK CHAIR,Furniture,BC267618731
curved monitor,Technology,BC607692567
chaise,Furniture,BC200889109
HON compact escritorio,Furniture,BC338462628
소프트웨어 professional package,Services,BC113107987
support contract professional,Services,BC155094221
Kimball Lounge Seating LS-200,Furniture,BC867658814
wardrobe Model B-795,Furniture,BC214949614
шкаф,Furniture,BC862022549
soporte técnico,Services,BC838066391
data plan,Services,BC363841612
Ricoh Aficio energy efficient,Technology,BC425717549
Steelcase small шкаф,Furniture,BC797468922
glass locker - Refurbished,Furniture,BC815120513
SOC service,Services,BC580499237
backup software volume license,Services,BC144219109
setee,Furniture,BC689269569
Teknion HON table,Furniture,BC416130770
brown wardrobe Model A-959,Furniture,BC265268660
abonnement internet,Services,BC887334437
HP EliteDesk gaming,Technology,BC880725278
Steelcase Executive Seat EX-400,Furniture,BC203354415
HON mesh wardrobe,Furniture,BC115810687
curved monitor backlit,Technology,BC937332060
HON filing cabinet,Furniture,BC540024260
компьютер 2024,Technology,BC928096889
SOFÁ,Furniture,BC921879587
help desk standard agreement,Services,BC804105516
krzesło,Furniture,BC618645569
ERP system,Services,BC215310912
biurko,Furniture,BC271690961
armario,Furniture,BC708857885
キャビネット,Furniture,BC448443704
stol,Furniture,BC275864280
standing desk,Furniture,BC915571513
Office 365 Business annual,Services,BC467126134
writing desk,Furniture,BC692134048
IKEA professional Herman Miller desk,Furniture,BC551232519
RECEPTION SOFA,Furniture,BC665646221
cadeira,Furniture,BC553376084
VoIP service,Services,BC616386600
4k monitor,Technology,BC668031793
SLA agreement unlimited,Services,BC745551372
Adoby Creative limited bundle,Services,BC303850254
Kimball office chair,Furniture,BC148186901
ITSM service,Services,BC303431575
managed services,Services,BC664596387
archivador,Furniture,BC842725930
Aeron chair,Furniture,BC995990847
HP ProBook,Technology,BC221517071
standard デスク,Furniture,BC800346424
armoire,Furniture,BC376681108
AIO printer,Technology,BC120485196
wooden IKEA desk,Furniture,BC239989275
schrank,Furniture,BC460957835
unlimited plan,Services,BC192142552
office chair,Furniture,BC275309282
sofá Model Pro-621,Furniture,BC951374399
Global шкаф,Furniture,BC299215925
Herman Miller desk,Furniture,BC264494545
API subscription enterprise,Services,BC740337419
support contract professional,Services,BC657793068
note book certified,Technology,BC934052476
デスク,Furniture,BC889382867
counch,Furniture,BC918226618
small soffa,Furniture,BC901127771
WOODEN WORKSTATON,Furniture,BC897218787
divan,Furniture,BC913610452
business internet unlimited,Services,BC980612131
char,Furniture,BC894119729
стул,Furniture,BC699169292
SECURITY SUPPORT,Services,BC641949014
armoire,Furniture,BC980598636
Salesforce Enterprise,Services,BC100772905
database support,Services,BC282879331
tech device,Technology,BC583249931
Windows license site license,Services,BC194511472
IKEA desk - Refurbished,Furniture,BC812458132
sectional,Furniture,BC276087243
loveseat,Furniture,BC860674986
1TB SSD Laptop,Technology,BC594817420
server maintenance,Services,BC838586956
4k monitor,Technology,BC234259822
монитор,Technology,BC881938614
ソフトウェア enterprise,Services,BC478305093
Oracle per user,Services,BC897711678
