name,barcode,normalized_name,cluster_id,true_category,predicted_category,confidence
Dell UltraSharp,BC824230874,dell ultrasharp,8,,Services,0.7790585252216248
stuhl,BC971763327,stuhl,19,Furniture,Technology,0.769847546925485
executive chair,BC663052341,executive chair,19,Furniture,Technology,0.7620928634309171
Global szafa,BC922172936,global szafa,16,,Technology,0.765133486122019
service agreement,BC173512612,service agreement,15,Services,Furniture,0.7628249497409451
office sofa,BC182894551,office sofa,5,Furniture,Technology,0.7742960075414633
executive standing desk,BC369183038,executive standing desk,3,Furniture,Technology,0.7658986356105127
Lounge Seating LS-200,BC481882460,lounge seating ls-200,5,,Technology,0.7487176279104208
OneDrive storage basic,BC889546822,onedrive storage basic,17,,Furniture,0.7487394822144471
Global archivador,BC358085454,global archivador,2,,Services,0.7414881566106816
стул Model Pro-918,BC196201527,стул model pro-918,1,,Technology,0.7805024738481213
IKEA leather Desk Model D-100,BC626061386,ikea leather desk model d-100,1,,Technology,0.7745988125970532
deks,BC498786278,deks,3,Furniture,Technology,0.752029528840951
internet service,BC902813840,internet service,7,Services,Furniture,0.7905461953384905
schrank,BC140519046,schrank,16,Furniture,Technology,0.7665708521307776
printer - Refurbished,BC805315791,printer - refurbished,8,,Services,0.7813711258342652
compter,BC883749478,compter,21,Technology,Services,0.7363063102991301
ASUS PB278Q wireless,BC158119446,asus pb278q wireless,8,,Services,0.7670919987132935
all-in-one printer compact,BC991091361,all-in-one printer compact,18,Technology,Services,0.7567938356859156
broadband monthly,BC414064734,broadband monthly,6,Services,Furniture,0.7558795653804034
stuhl,BC444342661,stuhl,19,Furniture,Technology,0.769847546925485
gabinete,BC141351917,gabinete,2,Furniture,Services,0.7524223306715031
secondary display certified,BC574460059,secondary display certified,9,Technology,Services,0.7227741289745068
SSH client limited,BC534722381,ssh client limited,17,,Furniture,0.750357211878296
Anti virus,BC982169157,anti virus,17,,Furniture,0.7536803496384583
biurko,BC108809073,biurko,3,Furniture,Technology,0.7544976975764551
의자,BC374811907,의자,2,Furniture,Services,0.738676188284113
ITIL support,BC958416162,itil support,13,,Furniture,0.7719501304661343
Allsteel archivador,BC699299989,allsteel archivador,2,,Services,0.7431769350111027
QHD Display certified,BC946711815,qhd display certified,9,,Services,0.720792810977528
schrank,BC279701810,schrank,16,Furniture,Technology,0.7665708521307776
fiber internet,BC899484915,fiber internet,7,Services,Furniture,0.7722305820686846
HON table,BC450932787,hon table,10,,Technology,0.7738169720332307
work desk,BC364982130,work desk,3,Furniture,Technology,0.7830462362613001
WiFi printer,BC575625690,wifi printer,18,,Services,0.7690247683984706
стол,BC227117388,стол,19,Furniture,Technology,0.7717436898850797
HP OfficeJet,BC718494872,hp officejet,18,,Services,0.7636159449083277
