name,barcode,normalized_name,cluster_id,true_category,predicted_category,confidence,method_used,approach2_prediction,approach2_confidence,approach4_prediction,approach4_confidence
Dell UltraSharp,BC824230874,dell ultrasharp,8,Technology,Services,0.7011526726994624,semantic_conf,Services,0.7790585252216248,Uncategorized,0.0
stuhl,BC971763327,stuhl,19,Furniture,Technology,0.6928627922329365,semantic_conf,Technology,0.769847546925485,Uncategorized,0.0
executive chair,BC663052341,executive chair,19,Furniture,Technology,0.6858835770878254,semantic_conf,Technology,0.7620928634309171,Uncategorized,0.0
Global szafa,BC922172936,global szafa,16,Furniture,Technology,0.6886201375098171,semantic_conf,Technology,0.765133486122019,Uncategorized,0.0
service agreement,BC173512612,service agreement,15,Services,Furniture,0.6865424547668506,semantic_conf,Furniture,0.7628249497409451,Uncategorized,0.0
office sofa,BC182894551,office sofa,5,Furniture,Technology,0.696866406787317,semantic_conf,Technology,0.7742960075414633,Uncategorized,0.0
executive standing desk,BC369183038,executive standing desk,3,Furniture,Technology,0.6893087720494615,semantic_conf,Technology,0.7658986356105127,Uncategorized,0.0
Lounge Seating LS-200,BC481882460,lounge seating ls-200,5,Furniture,Technology,0.6738458651193788,semantic_conf,Technology,0.7487176279104208,Uncategorized,0.0
OneDrive storage basic,BC889546822,onedrive storage basic,17,Services,Furniture,0.6738655339930024,semantic_conf,Furniture,0.7487394822144471,Uncategorized,0.0
Global archivador,BC358085454,global archivador,2,Furniture,Services,0.6673393409496134,semantic_conf,Services,0.7414881566106816,Uncategorized,0.0
стул Model Pro-918,BC196201527,стул model pro-918,1,Furniture,Technology,0.7024522264633092,semantic_conf,Technology,0.7805024738481213,Uncategorized,0.0
IKEA leather Desk Model D-100,BC626061386,ikea leather desk model d-100,1,Furniture,Technology,0.697138931337348,semantic_conf,Technology,0.7745988125970532,Uncategorized,0.0
deks,BC498786278,deks,3,Furniture,Technology,0.6768265759568559,semantic_conf,Technology,0.752029528840951,Uncategorized,0.0
internet service,BC902813840,internet service,7,Services,Furniture,0.7114915758046414,semantic_conf,Furniture,0.7905461953384905,Uncategorized,0.0
schrank,BC140519046,schrank,16,Furniture,Technology,0.6899137669176998,semantic_conf,Technology,0.7665708521307776,Uncategorized,0.0
printer - Refurbished,BC805315791,printer - refurbished,8,Technology,Services,0.7032340132508387,semantic_conf,Services,0.7813711258342652,Uncategorized,0.0
compter,BC883749478,compter,21,Technology,Services,0.6626756792692171,semantic_conf,Services,0.7363063102991301,Uncategorized,0.0
ASUS PB278Q wireless,BC158119446,asus pb278q wireless,8,Technology,Services,0.6903827988419642,semantic_conf,Services,0.7670919987132935,Uncategorized,0.0
all-in-one printer compact,BC991091361,all-in-one printer compact,18,Technology,Services,0.6811144521173241,semantic_conf,Services,0.7567938356859156,Uncategorized,0.0
broadband monthly,BC414064734,broadband monthly,6,Services,Furniture,0.6802916088423631,semantic_conf,Furniture,0.7558795653804034,Uncategorized,0.0
stuhl,BC444342661,stuhl,19,Furniture,Technology,0.6928627922329365,semantic_conf,Technology,0.769847546925485,Uncategorized,0.0
gabinete,BC141351917,gabinete,2,Furniture,Services,0.6771800976043528,semantic_conf,Services,0.7524223306715031,Uncategorized,0.0
secondary display certified,BC574460059,secondary display certified,9,Technology,Services,0.6504967160770561,semantic_conf,Services,0.7227741289745068,Uncategorized,0.0
SSH client limited,BC534722381,ssh client limited,17,Services,Furniture,0.6753214906904664,semantic_conf,Furniture,0.750357211878296,Uncategorized,0.0
Anti virus,BC982169157,anti virus,17,Services,Furniture,0.6783123146746125,semantic_conf,Furniture,0.7536803496384583,Uncategorized,0.0
biurko,BC108809073,biurko,3,Furniture,Technology,0.6790479278188096,semantic_conf,Technology,0.7544976975764551,Uncategorized,0.0
의자,BC374811907,의자,2,Furniture,Services,0.6648085694557017,semantic_conf,Services,0.738676188284113,Uncategorized,0.0
ITIL support,BC958416162,itil support,13,Services,Furniture,0.6947551174195209,semantic_conf,Furniture,0.7719501304661343,Uncategorized,0.0
Allsteel archivador,BC699299989,allsteel archivador,2,Furniture,Services,0.6688592415099924,semantic_conf,Services,0.7431769350111027,Uncategorized,0.0
QHD Display certified,BC946711815,qhd display certified,9,Technology,Services,0.6487135298797753,semantic_conf,Services,0.720792810977528,Uncategorized,0.0
schrank,BC279701810,schrank,16,Furniture,Technology,0.6899137669176998,semantic_conf,Technology,0.7665708521307776,Uncategorized,0.0
fiber internet,BC899484915,fiber internet,7,Services,Furniture,0.6950075238618161,semantic_conf,Furniture,0.7722305820686846,Uncategorized,0.0
HON table,BC450932787,hon table,10,Furniture,Technology,0.6964352748299076,semantic_conf,Technology,0.7738169720332307,Uncategorized,0.0
work desk,BC364982130,work desk,3,Furniture,Technology,0.7047416126351701,semantic_conf,Technology,0.7830462362613001,Uncategorized,0.0
WiFi printer,BC575625690,wifi printer,18,Technology,Services,0.6921222915586235,semantic_conf,Services,0.7690247683984706,Uncategorized,0.0
стол,BC227117388,стол,19,Furniture,Technology,0.6945693208965718,semantic_conf,Technology,0.7717436898850797,Uncategorized,0.0
HP OfficeJet,BC718494872,hp officejet,18,Technology,Services,0.6872543504174949,semantic_conf,Services,0.7636159449083277,Uncategorized,0.0
소파 Model B-588,BC165176331,소파 model b-588,1,Furniture,Technology,0.6961225350532445,semantic_conf,Technology,0.7734694833924939,Uncategorized,0.0
Executive Table EX-200,BC107057729,executive table ex-200,10,Furniture,Technology,0.6697582385445073,semantic_conf,Technology,0.7441758206050081,Uncategorized,0.0
chiar,BC888448988,chiar,21,Furniture,Services,0.6534893279699312,semantic_conf,Services,0.7260992532999235,Uncategorized,0.0
cabnit Model A-402,BC516032315,cabnit model a-402,1,Furniture,Technology,0.699215175691596,semantic_conf,Technology,0.7769057507684399,Uncategorized,0.0
sofa,BC959106271,sofa,11,Furniture,Technology,0.7113607238981691,semantic_conf,Technology,0.7904008043312989,Uncategorized,0.0
ultrawide monitor,BC899283454,ultrawide monitor,12,Technology,Services,0.7012757252905335,semantic_conf,Services,0.779195250322815,Uncategorized,0.0
Herman Miller Chair Model C-300,BC348215410,herman miller chair model c-300,14,Furniture,Technology,0.6864308711873259,semantic_conf,Technology,0.7627009679859177,Uncategorized,0.0
divan,BC134077472,divan,11,Furniture,Technology,0.7002366375181641,semantic_conf,Technology,0.7780407083535157,Uncategorized,0.0
technical support,BC122927426,technical support,13,Services,Furniture,0.7129495604069629,semantic_conf,Furniture,0.7921661782299587,Uncategorized,0.0
iCloud storage,BC683247918,icloud storage,7,Services,Furniture,0.6867150991830137,semantic_conf,Furniture,0.7630167768700151,Uncategorized,0.0
szafa,BC140127441,szafa,16,Furniture,Technology,0.6806066089243832,semantic_conf,Technology,0.7562295654715369,Uncategorized,0.0
Used szafa,BC594318319,used szafa,16,Furniture,Technology,0.6859850817294064,semantic_conf,Technology,0.7622056463660071,Uncategorized,0.0
Reception Sofa RS-100 Model A-541,BC232654592,reception sofa rs-100 model a-541,5,Furniture,Technology,0.6719164985307863,semantic_conf,Technology,0.7465738872564291,Uncategorized,0.0
chrome book - Refurbished,BC481584364,chrome book - refurbished,8,Technology,Services,0.7004862510476221,semantic_conf,Services,0.7783180567195801,Uncategorized,0.0
HON table,BC898302819,hon table,10,Furniture,Technology,0.6964352748299076,semantic_conf,Technology,0.7738169720332307,Uncategorized,0.0
phone support monthly,BC269702658,phone support monthly,13,Services,Furniture,0.6872139794857898,semantic_conf,Furniture,0.7635710883175442,Uncategorized,0.0
security software volume license,BC406998453,security software volume license,15,Services,Furniture,0.6906313214775134,semantic_conf,Furniture,0.7673681349750149,Uncategorized,0.0
Teknion divan,BC137219006,teknion divan,21,Furniture,Services,0.6694031422761904,semantic_conf,Services,0.743781269195767,Uncategorized,0.0
monitr professional,BC768986243,monitr professional,21,Technology,Services,0.6643152599958406,semantic_conf,Services,0.7381280666620451,Uncategorized,0.0
software support,BC674420474,software support,13,Services,Furniture,0.7146711630852618,semantic_conf,Furniture,0.7940790700947353,Uncategorized,0.0
compact bench,BC142400500,compact bench,16,Furniture,Technology,0.6901950233550015,semantic_conf,Technology,0.766883359283335,Uncategorized,0.0
SAP,BC963589906,sap,20,Services,Services,0.6568624387332114,semantic_conf,Services,0.7298471541480126,Uncategorized,0.0
Kimball 캐비넷,BC635413025,kimball 캐비넷,2,Furniture,Services,0.6585329513793772,semantic_conf,Services,0.7317032793104191,Uncategorized,0.0
NOC service subscription,BC252728624,noc service subscription,7,Services,Furniture,0.6824823051366117,semantic_conf,Furniture,0.7583136723740129,Uncategorized,0.0
Teknion chiar,BC384528891,teknion chiar,21,Furniture,Services,0.6791384344724641,semantic_conf,Services,0.7545982605249602,Uncategorized,0.0
VPN client,BC823310328,vpn client,17,Services,Furniture,0.678371484205481,semantic_conf,Furniture,0.7537460935616456,Uncategorized,0.0
Kimball storage unit,BC124425601,kimball storage unit,16,Furniture,Technology,0.688002532062048,semantic_conf,Technology,0.76444725784672,Uncategorized,0.0
